The Different Ways To Earn Kenya Airways Asante Rewards Points,https://simpleflying.com/kenya-airways-earning-guide/,Asante Rewards members can earn points on Kenya Airways and SkyTeam partner flights.,2 hours ago
Kenya Airways Captain Irene Koki Mutungi Overjoyed as Forbes Magazine Honours Her Again - Tuko.co.ke,https://www.tuko.co.ke/people/541017-kenya-airways-captain-irene-koki-mutungi-overjoyed-forbes-magazine-honours-again/,Kenya Airways Captain Irene Koki Mutungi is bursting with joy after she was honoured by Forbes Magazine; Koki was on the list of the 'Trailblazers leading...,4 days ago
Kenya Airways resumes nonstop flights to Mogadishu,http://www.timesaerospace.aero/news/route-planning-and-tourism/kenya-airways-resumes-nonstop-flights-to-mogadishu,The thrice-weekly flights will operate from Terminal 2 at Jomo Kenyatta International Airport. Kenya Airways had initially launched flights to Mogadishu in...,3 weeks ago
Green solutions can lift Kenya Airways' cargo business in Valentine’s Day season,https://www.businessdailyafrica.com/bd/opinion-analysis/columnists/green-solutions-can-lift-kenya-airways-cargo-business-in-valentine-s-day-season-4522754,Wouldn't this lucrative Valentine's Day season be the one for KQ to increase its capacity into the EU through The Sustainable Flight Challenge (TSFC) an...,1 month ago
Kenya Airways Signs Code Sharing Agreement with Air Europa,https://kenyanwallstreet.com/kenya-airways-signs-code-sharing-agreement-with-air-europa/,Kenya Airways has signed a code share agreement with Spanish airline 'Air Europa' this afternoon to access wider travel destinations in Europe and the US.,1 month ago
When Tanzania clipped wings of Kenya Airways,https://www.monitor.co.ug/uganda/oped/commentary/when-tanzania-clipped-wings-of-kenya-airways-4496606,A cartoon in the Daily Nation of the same day took the witness even further. The cartoonist drew Tanzanian President Samia Suluhu running off with the two wings...,1 month ago
Tanzania says it has lifted ban on Kenya Airways flights,https://www.reuters.com/business/aerospace-defense/tanzania-says-it-has-lifted-ban-kenya-airways-flights-2024-01-16/,Tanzania said on Tuesday it had reinstated approval for Kenyan national carrier Kenya Airways to operate flights between the Kenyan capital Nairobi and...,2 months ago
Tit for Tat: Tanzania Hits Pause on Kenya Airways Flights in Retaliation,https://www.youtube.com/watch%3Fv%3DoY52jqtzcsI,Tit for Tat: Tanzania Hits Pause on Kenya Airways Flights in Retaliation · Comments116. thumbnail-image.,2 months ago
Tanzania Suspends All Kenya Airways Passenger Flights in Fresh Reciprocity Row - Tuko.co.ke,https://www.tuko.co.ke/business-economy/534533-tanzania-suspends-kenya-airways-passenger-flights-fresh-reciprocity-row/,Tanzania Civil Aviation Authority has suspended all KQ passenger flights between Nairobi and Dar es Salaam in retaliation after Kenya blocked its cargo...,2 months ago
KQ shrugs off an attempted Cyber Attack - Nairobi,https://biznakenya.com/kq-shrugs-off-an-attempted-cyber-attack/,An authoritative Kenya Airways (KQ) source who does not wish to be identified has confirmed that there was a cyber security incident last month. A hacker.,2 months ago
Kenya Airways ranked Africa's second most efficient airline,https://www.capitalfm.co.ke/news/2024/01/kenya-airways-ranked-africas-second-most-efficient-airline/,NAIROBI Kenya Jan 4 - Kenya Airways has been ranked as Africa's second most efficient airline in a global on-time performance review of airlines and...,2 months ago
